07DCC0206C,LOS NIÑOS HEROES,1,CHILON,SAN GABRIEL,SAN GABRIEL,0,109,07FZI0004J,01,07FJI0001L,1,15,9,24,3,1,0,1,0,0,0,0,0,0,PREESCOLAR,PREESCOLAR INDIGENA FEDERAL TRANSFERIDO,06,VI SELVA,1
07DCC1013V,JUANA DE ARCO,1,CHILON,CACATEEL,CACATEEL,0,109,07FZI0004J,01,07FJI0001L,1,12,9,21,3,0,1,1,0,0,0,0,0,0,PREESCOLAR,PREESCOLAR INDIGENA FEDERAL TRANSFERIDO,06,VI SELVA,
07DCC1017R,MANUEL AVILA CAMACHO,1,CHILON,SAN FELIPE,SAN FELIPE,0,109,07FZI0004J,01,07FJI0001L,1,11,7,18,3,0,1,1,0,0,0,0,0,0,PREESCOLAR,PREESCOLAR INDIGENA FEDERAL TRANSFERIDO,06,VI SELVA,1
07DCC1216Q,JUAN RULFO,1,CHILON,WILIBJA,WILIBJA,0,109,07FZI0004J,01,07FJI0001L,1,18,9,27,3,0,1,1,0,0,0,0,0,0,PREESCOLAR,PREESCOLAR INDIGENA FEDERAL TRANSFERIDO,06,VI SELVA,
07DCC1224Z,LEONA VICARIO,1,CHILON,BAWITZ GUADALUPE,BAWITZ GUADALUPE,0,109,07FZI0004J,01,07FJI0001L,1,10,9,19,3,0,1,1,0,0,0,0,0,0,PREESCOLAR,PREESCOLAR INDIGENA FEDERAL TRANSFERIDO,06,VI SELVA,
07DCC1483M,BELISARIO DOMINGUEZ PALENCIA,1,CHILON,SAN JUAN BAWITZ,SAN JUAN BAWITZ,0,109,07FZI0004J,01,07FJI0001L,1,10,12,22,3,0,1,1,0,0,0,0,0,0,PREESCOLAR,PREESCOLAR INDIGENA FEDERAL TRANSFERIDO,06,VI SELVA,
07DCC1890S,MIGUEL HIDALGO Y COSTILLA,1,CHILON,JOL TANCHIVIL,JOL-TANCHIBIL,0,109,07FZI0004J,01,07FJI0001L,1,12,8,20,3,1,0,1,0,0,0,0,0,0,PREESCOLAR,PREESCOLAR INDIGENA FEDERAL TRANSFERIDO,06,VI SELVA,
07DCC0424Q,CESAR AUGUSTO SANDINO,1,CHILON,CENTRO MUQUIL,CENTRO MUQUIL,0,103,07FZI0005I,01,07FJI0001L,1,22,19,41,3,1,1,2,0,0,0,0,0,0,PREESCOLAR,PREESCOLAR INDIGENA FEDERAL TRANSFERIDO,06,VI SELVA,
07DCC0791L,GUADALUPE VICTORIA,1,CHILON,CENTRO CHEWAL,CENTRO CHEWAL,0,103,07FZI0005I,01,07FJI0001L,1,12,9,21,3,0,1,1,0,0,0,0,0,0,PREESCOLAR,PREESCOLAR INDIGENA FEDERAL TRANSFERIDO,06,VI SELVA,
07DCC1030L,NETZAHUALCOYOTL,1,CHILON,GOLOLTON,GOLOLTON,0,103,07FZI0005I,01,07FJI0001L,1,19,28,47,3,1,1,2,0,0,0,0,0,0,PREESCOLAR,PREESCOLAR INDIGENA FEDERAL TRANSFERIDO,06,VI SELVA,1
07DCC1204L,EMILIANO ZAPATA SALAZAR,1,CHILON,LOS MANGOS,LOS MANGOS,0,103,07FZI0005I,01,07FJI0001L,1,19,10,29,3,0,1,1,0,0,0,0,0,0,PREESCOLAR,PREESCOLAR INDIGENA FEDERAL TRANSFERIDO,06,VI SELVA,
07DCC1389H,AMADO NERVO,1,CHILON,XHANAIL,SHANAIL,0,103,07FZI0005I,01,07FJI0001L,1,13,12,25,3,0,1,1,0,0,0,0,0,0,PREESCOLAR,PREESCOLAR INDIGENA FEDERAL TRANSFERIDO,06,VI SELVA,
07DCC1738X,GABRIELA MISTRAL,1,CHILON,JOLAKIL,JOLAKIL,0,103,07FZI0005I,01,07FJI0001L,1,10,8,18,3,0,1,1,0,0,0,0,0,0,PREESCOLAR,PREESCOLAR INDIGENA FEDERAL TRANSFERIDO,06,VI SELVA,1
07DCC1755N,JUAN DE DIOS PEZA,1,CHILON,CENTRO JOLAKIL,CENTRO JOLAKIL,0,103,07FZI0005I,01,07FJI0001L,1,8,10,18,3,0,1,1,0,0,0,0,0,0,PREESCOLAR,PREESCOLAR INDIGENA FEDERAL TRANSFERIDO,06,VI SELVA,1
07DCC1895N,ADOLFO RUIZ CORTINEZ,1,CHILON,CRUZ GABRIEL,CRUZ GABRIEL,0,103,07FZI0005I,01,07FJI0001L,1,10,14,24,3,0,1,1,0,0,0,0,0,0,PREESCOLAR,PREESCOLAR INDIGENA FEDERAL TRANSFERIDO,06,VI SELVA,1
07DCC1975Z,SOR JUANA INES DE LA CRUZ,1,CHILON,CANTETIC,CANTETIC,0,103,07FZI0005I,01,07FJI0001L,1,8,13,21,3,0,1,1,0,0,0,0,0,0,PREESCOLAR,PREESCOLAR INDIGENA FEDERAL TRANSFERIDO,06,VI SELVA,1
07DCC0423R,ILHUICAMINA,1,CHILON,EL MANGO,EL MANGO,0,110,07FZI0006H,01,07FJI0001L,1,52,66,118,4,0,4,4,0,1,1,0,0,0,PREESCOLAR,PREESCOLAR INDIGENA FEDERAL TRANSFERIDO,06,VI SELVA,1
07DCC0660T,BENEMERITO DE LAS AMERICAS,1,CHILON,JOL SACUN,JOL SACUN,0,110,07FZI0006H,01,07FJI0001L,1,42,54,96,3,0,3,3,0,0,0,0,0,0,PREESCOLAR,PREESCOLAR INDIGENA FEDERAL TRANSFERIDO,06,VI SELVA,1
07DCC0794I,ENRIQUE ECHEVERRIA,1,CHILON,HIC'BATIL,HIC' BATIL,0,110,07FZI0006H,01,07FJI0001L,1,20,11,31,3,0,1,1,0,0,0,0,0,0,PREESCOLAR,PREESCOLAR INDIGENA FEDERAL TRANSFERIDO,06,VI SELVA,1
07DCC0797F,CARMEN AMAYA,1,CHILON,JOL HIC'BATIL,HIC' BATIL,0,110,07FZI0006H,01,07FJI0001L,1,53,28,81,3,0,3,3,0,0,0,0,0,0,PREESCOLAR,PREESCOLAR INDIGENA FEDERAL TRANSFERIDO,06,VI SELVA,1
07DCC0873V,30 DE ABRIL,1,CHILON,SACUN CUBWITZ,SACUN CUBWITZ,0,110,07FZI0006H,01,07FJI0001L,1,69,58,127,4,0,4,4,1,0,1,0,0,0,PREESCOLAR,PREESCOLAR INDIGENA FEDERAL TRANSFERIDO,06,VI SELVA,1
